lotsize,bedrooms,bathrms,stories,driveway,gardenarea,fullbase,gashw,airco,garagepl,prefarea,price
5850,3,1,2,yes,2177,yes,no,no,1,no,42000
4000,2,1,1,yes,6705,no,no,no,0,no,38500
3060,3,1,1,yes,1168,no,no,no,0,no,49500
6650,3,1,2,yes,8850,no,no,no,0,no,60500
6360,2,1,1,yes,9670,no,no,no,0,no,61000
4160,3,1,1,yes,7447,yes,no,yes,0,no,66000
3880,3,2,2,yes,8812,yes,no,no,2,no,66000
4160,3,1,3,yes,4079,no,no,no,0,no,69000
4800,3,1,1,yes,7037,yes,no,no,0,no,83800
5500,3,2,4,yes,5162,no,no,yes,1,no,88500
7200,3,2,1,yes,3632,yes,no,yes,3,no,90000
3000,2,1,1,no,9461,no,no,no,0,no,30500
1700,3,1,2,yes,3563,no,no,no,0,no,27000
2880,3,1,1,no,7597,no,no,no,0,no,36000
3600,2,1,1,yes,6252,no,no,no,0,no,37000
3185,2,1,1,yes,8180,no,no,yes,0,no,37900
3300,3,1,2,no,5916,no,no,no,1,no,40500
5200,4,1,3,yes,2132,no,no,no,0,no,40750
3450,1,1,1,yes,8144,no,no,no,0,no,45000
3986,2,2,1,no,4187,yes,no,no,1,no,45000
4785,3,1,2,yes,9401,yes,no,yes,1,no,48500
4510,4,2,2,yes,6121,yes,no,no,0,no,65900
4000,3,1,2,yes,8513,no,no,yes,0,no,37900
3934,2,1,1,yes,4288,no,no,no,0,no,38000
4960,2,1,1,yes,5304,no,no,no,0,no,42000
3000,2,1,2,yes,7363,no,no,no,0,no,42300
3800,2,1,1,yes,7815,no,no,no,0,no,43500
4960,2,1,1,yes,4887,yes,no,yes,0,no,44000
3000,3,1,1,no,7001,no,no,yes,0,no,44500
4500,3,1,2,yes,5421,no,no,yes,0,no,44900
3500,2,1,1,no,5867,yes,no,no,0,no,45000
3500,4,1,2,yes,9386,no,no,yes,2,no,48000
4000,2,1,1,yes,9569,no,no,no,0,no,49000
4500,2,1,1,yes,2337,no,no,no,0,no,51500
6360,2,1,2,yes,6949,no,no,no,0,no,61000
4500,2,1,1,yes,6895,no,no,yes,2,no,61000
4032,2,1,1,yes,2199,yes,no,no,0,no,61700
5170,3,1,4,yes,9789,no,no,yes,0,no,67000
5400,4,2,2,yes,3591,no,no,yes,2,no,82000
3150,2,2,1,no,2580,yes,no,no,0,no,54500
3745,3,1,2,yes,2127,yes,no,no,0,no,66500
4520,3,1,2,yes,4213,yes,no,yes,0,no,70000
4640,4,1,2,yes,2450,no,no,no,1,no,82000
8580,5,3,2,yes,5070,no,no,no,2,no,92000
2000,2,1,2,yes,6891,no,no,no,0,no,38000
2160,3,1,2,no,9698,yes,no,no,0,no,44000
3040,2,1,1,no,9329,no,no,no,0,no,41000
3090,3,1,2,no,4758,no,no,no,0,no,43000
4960,4,1,3,no,8087,no,no,no,0,no,48000
3350,3,1,2,yes,7598,no,no,no,0,no,54800
5300,5,2,2,yes,1529,no,no,no,0,no,55000
4100,4,1,1,no,3751,yes,no,no,0,no,57000
9166,2,1,1,yes,2805,yes,no,yes,2,no,68000
4040,3,1,2,yes,1246,yes,yes,no,1,no,95000
3630,3,3,2,no,3478,no,no,no,0,no,38000
3620,2,1,1,yes,9889,no,no,no,0,no,25000
2400,3,1,1,no,9093,no,no,no,0,no,25245
7260,3,2,1,yes,8944,yes,no,no,3,no,56000
